datetime,open,high,low,close
2026-01-06 18:00,0.145,0.145,0.145,0.145
2026-01-06 19:00,0.145,0.145,0.145,0.145
2026-01-06 20:00,0.175,0.175,0.175,0.175
2026-01-06 21:00,0.185,0.185,0.185,0.185
2026-01-06 22:00,0.17,0.17,0.17,0.17
2026-01-06 23:00,0.16,0.16,0.16,0.16
2026-01-07 00:00,0.165,0.165,0.165,0.165
2026-01-07 01:00,0.155,0.155,0.155,0.155
2026-01-07 02:00,0.155,0.155,0.155,0.155
2026-01-07 03:00,0.18,0.18,0.18,0.18
2026-01-07 04:00,0.19,0.19,0.19,0.19
2026-01-07 05:00,0.18,0.18,0.18,0.18
2026-01-07 06:00,0.165,0.165,0.165,0.165
2026-01-07 07:00,0.15,0.15,0.15,0.15
2026-01-07 08:00,0.105,0.105,0.105,0.105
2026-01-07 09:00,0.1,0.1,0.1,0.1
2026-01-07 10:00,0.105,0.105,0.105,0.105
2026-01-07 11:00,0.11,0.11,0.11,0.11
2026-01-07 12:00,0.09,0.09,0.09,0.09
2026-01-07 13:00,0.105,0.105,0.105,0.105
2026-01-07 14:00,0.105,0.105,0.105,0.105
2026-01-07 15:00,0.11,0.11,0.11,0.11
2026-01-07 16:00,0.115,0.115,0.115,0.115
2026-01-07 17:00,0.14,0.14,0.14,0.14
2026-01-07 18:00,0.13,0.13,0.13,0.13
2026-01-07 19:00,0.135,0.135,0.135,0.135
2026-01-07 20:00,0.15,0.15,0.15,0.15
2026-01-07 21:00,0.135,0.135,0.135,0.135
2026-01-07 22:00,0.165,0.165,0.165,0.165
2026-01-07 23:00,0.165,0.165,0.165,0.165
2026-01-08 00:00,0.18,0.18,0.18,0.18
2026-01-08 01:00,0.17,0.17,0.17,0.17
2026-01-08 02:00,0.17,0.17,0.17,0.17
2026-01-08 03:00,0.16,0.16,0.16,0.16
2026-01-08 04:00,0.145,0.145,0.145,0.145
2026-01-08 05:00,0.145,0.145,0.145,0.145
2026-01-08 06:00,0.135,0.135,0.135,0.135
2026-01-08 07:00,0.135,0.135,0.135,0.135
2026-01-08 08:00,0.135,0.135,0.135,0.135
2026-01-08 09:00,0.135,0.135,0.135,0.135
2026-01-08 10:00,0.135,0.135,0.135,0.135
2026-01-08 11:00,0.135,0.135,0.135,0.135
2026-01-08 12:00,0.145,0.145,0.145,0.145
2026-01-08 13:00,0.135,0.135,0.135,0.135
2026-01-08 14:00,0.13,0.13,0.13,0.13
2026-01-08 15:00,0.125,0.125,0.125,0.125
2026-01-08 16:00,0.135,0.135,0.135,0.135
2026-01-08 17:00,0.14,0.14,0.14,0.14
2026-01-08 18:00,0.14,0.14,0.14,0.14
2026-01-08 19:00,0.155,0.155,0.155,0.155
2026-01-08 20:00,0.17,0.17,0.17,0.17
2026-01-08 21:00,0.25,0.25,0.25,0.25
2026-01-08 22:00,0.22,0.22,0.22,0.22
2026-01-08 23:00,0.205,0.205,0.205,0.205
2026-01-09 00:00,0.205,0.205,0.205,0.205
2026-01-09 01:00,0.22,0.22,0.22,0.22
2026-01-09 02:00,0.17,0.17,0.17,0.17
2026-01-09 03:00,0.175,0.175,0.175,0.175
2026-01-09 04:00,0.175,0.175,0.175,0.175
2026-01-09 05:00,0.19,0.19,0.19,0.19
2026-01-09 06:00,0.185,0.185,0.185,0.185
2026-01-09 07:00,0.185,0.185,0.185,0.185
2026-01-09 08:00,0.185,0.185,0.185,0.185
2026-01-09 09:00,0.2,0.2,0.2,0.2
2026-01-09 10:00,0.195,0.195,0.195,0.195
2026-01-09 11:00,0.195,0.195,0.195,0.195
2026-01-09 12:00,0.17,0.17,0.17,0.17
2026-01-09 13:00,0.18,0.18,0.18,0.18
2026-01-09 14:00,0.175,0.175,0.175,0.175
2026-01-09 15:00,0.175,0.175,0.175,0.175
2026-01-09 16:00,0.175,0.175,0.175,0.175
2026-01-09 17:00,0.175,0.175,0.175,0.175
2026-01-09 18:00,0.155,0.155,0.155,0.155
2026-01-09 19:00,0.16,0.16,0.16,0.16
2026-01-09 20:00,0.16,0.16,0.16,0.16
2026-01-09 21:00,0.15,0.15,0.15,0.15
2026-01-09 22:00,0.15,0.15,0.15,0.15
2026-01-09 23:00,0.155,0.155,0.155,0.155
2026-01-10 00:00,0.155,0.155,0.155,0.155
2026-01-10 01:00,0.155,0.155,0.155,0.155
2026-01-10 02:00,0.145,0.145,0.145,0.145
2026-01-10 03:00,0.145,0.145,0.145,0.145
2026-01-10 04:00,0.13,0.13,0.13,0.13
2026-01-10 05:00,0.175,0.175,0.175,0.175
2026-01-10 06:00,0.165,0.165,0.165,0.165
2026-01-10 07:00,0.15,0.15,0.15,0.15
2026-01-10 08:00,0.1,0.1,0.1,0.1
2026-01-10 09:00,0.115,0.115,0.115,0.115
2026-01-10 10:00,0.11,0.11,0.11,0.11
2026-01-10 11:00,0.1,0.1,0.1,0.1
2026-01-10 12:00,0.105,0.105,0.105,0.105
2026-01-10 13:00,0.095,0.095,0.095,0.095
2026-01-10 14:00,0.075,0.075,0.075,0.075
2026-01-10 15:00,0.075,0.075,0.075,0.075
2026-01-10 16:00,0.085,0.085,0.085,0.085
2026-01-10 17:00,0.13,0.13,0.13,0.13
2026-01-10 18:00,0.105,0.105,0.105,0.105
2026-01-10 19:00,0.115,0.115,0.115,0.115
2026-01-10 20:00,0.13,0.13,0.13,0.13
2026-01-10 21:00,0.105,0.105,0.105,0.105
2026-01-10 22:00,0.13,0.13,0.13,0.13
2026-01-10 23:00,0.14,0.14,0.14,0.14
2026-01-11 00:00,0.155,0.155,0.155,0.155
2026-01-11 01:00,0.145,0.145,0.145,0.145
2026-01-11 02:00,0.145,0.145,0.145,0.145
2026-01-11 03:00,0.135,0.135,0.135,0.135
2026-01-11 04:00,0.135,0.135,0.135,0.135
2026-01-11 05:00,0.155,0.155,0.155,0.155
2026-01-11 06:00,0.165,0.165,0.165,0.165
2026-01-11 07:00,0.145,0.145,0.145,0.145
2026-01-11 08:00,0.135,0.135,0.135,0.135
2026-01-11 09:00,0.15,0.15,0.15,0.15
2026-01-11 10:00,0.14,0.14,0.14,0.14
2026-01-11 11:00,0.15,0.15,0.15,0.15
2026-01-11 12:00,0.15,0.15,0.15,0.15
2026-01-11 13:00,0.145,0.145,0.145,0.145
2026-01-11 14:00,0.145,0.145,0.145,0.145
2026-01-11 15:00,0.125,0.125,0.125,0.125
2026-01-11 16:00,0.125,0.125,0.125,0.125
2026-01-11 17:00,0.125,0.125,0.125,0.125
2026-01-11 18:00,0.105,0.105,0.105,0.105
2026-01-11 19:00,0.105,0.105,0.105,0.105
2026-01-11 20:00,0.105,0.105,0.105,0.105
2026-01-11 21:00,0.11,0.11,0.11,0.11
2026-01-11 22:00,0.155,0.155,0.155,0.155
2026-01-11 23:00,0.145,0.145,0.145,0.145
2026-01-12 00:00,0.145,0.145,0.145,0.145
2026-01-12 01:00,0.155,0.155,0.155,0.155
2026-01-12 02:00,0.145,0.145,0.145,0.145
2026-01-12 03:00,0.125,0.125,0.125,0.125
2026-01-12 04:00,0.125,0.125,0.125,0.125
2026-01-12 05:00,0.125,0.125,0.125,0.125
2026-01-12 06:00,0.125,0.125,0.125,0.125
2026-01-12 07:00,0.115,0.115,0.115,0.115
2026-01-12 08:00,0.115,0.115,0.115,0.115
2026-01-12 09:00,0.115,0.115,0.115,0.115
2026-01-12 10:00,0.115,0.115,0.115,0.115
2026-01-12 11:00,0.105,0.105,0.105,0.105
2026-01-12 12:00,0.11,0.11,0.11,0.11
2026-01-12 13:00,0.105,0.105,0.105,0.105
2026-01-12 14:00,0.105,0.105,0.105,0.105
2026-01-12 15:00,0.105,0.105,0.105,0.105
2026-01-12 16:00,0.125,0.125,0.125,0.125
2026-01-12 17:00,0.145,0.145,0.145,0.145
2026-01-12 18:00,0.14,0.14,0.14,0.14
2026-01-12 19:00,0.125,0.125,0.125,0.125
2026-01-12 20:00,0.105,0.105,0.105,0.105
2026-01-12 21:00,0.135,0.135,0.135,0.135
2026-01-12 22:00,0.125,0.125,0.125,0.125
2026-01-12 23:00,0.135,0.135,0.135,0.135
2026-01-13 00:00,0.13,0.13,0.13,0.13
2026-01-13 02:00,0.135,0.135,0.135,0.135
2026-01-13 03:00,0.14,0.14,0.14,0.14
2026-01-13 04:00,0.135,0.135,0.135,0.135
2026-01-13 05:00,0.125,0.125,0.125,0.125
2026-01-13 06:00,0.125,0.125,0.125,0.125
2026-01-13 07:00,0.125,0.125,0.125,0.125
2026-01-13 08:00,0.125,0.125,0.125,0.125
2026-01-13 09:00,0.135,0.135,0.135,0.135
2026-01-13 10:00,0.13,0.13,0.13,0.13
2026-01-13 11:00,0.105,0.105,0.105,0.105
2026-01-13 12:00,0.12,0.12,0.12,0.12
2026-01-13 13:00,0.135,0.135,0.135,0.135
2026-01-13 14:00,0.14,0.14,0.14,0.14
2026-01-13 15:00,0.155,0.155,0.155,0.155
2026-01-13 16:00,0.185,0.185,0.185,0.185
2026-01-13 17:00,0.19,0.19,0.19,0.19
2026-01-13 18:00,0.165,0.165,0.165,0.165
2026-01-13 19:00,0.19,0.19,0.19,0.19
2026-01-13 20:00,0.28,0.28,0.28,0.28
2026-01-13 21:00,0.135,0.135,0.135,0.135
2026-01-13 22:00,0.185,0.185,0.185,0.185
2026-01-13 23:00,0.16,0.16,0.16,0.16
2026-01-14 00:00,0.165,0.165,0.165,0.165
2026-01-14 01:00,0.175,0.175,0.175,0.175
2026-01-14 02:00,0.15,0.15,0.15,0.15
2026-01-14 03:00,0.145,0.145,0.145,0.145
2026-01-14 04:00,0.155,0.155,0.155,0.155
2026-01-14 05:00,0.16,0.16,0.16,0.16
2026-01-14 06:00,0.135,0.135,0.135,0.135
2026-01-14 07:00,0.14,0.14,0.14,0.14
2026-01-14 08:00,0.14,0.14,0.14,0.14
2026-01-14 09:00,0.135,0.135,0.135,0.135
2026-01-14 10:00,0.16,0.16,0.16,0.16
2026-01-14 11:00,0.215,0.215,0.215,0.215
2026-01-14 12:00,0.22,0.22,0.22,0.22
2026-01-14 13:00,0.215,0.215,0.215,0.215
2026-01-14 14:00,0.21,0.21,0.21,0.21
2026-01-14 15:00,0.205,0.205,0.205,0.205
2026-01-14 16:00,0.225,0.225,0.225,0.225
2026-01-14 17:00,0.235,0.235,0.235,0.235
2026-01-14 18:00,0.26,0.26,0.26,0.26
2026-01-14 19:00,0.44,0.44,0.44,0.44
2026-01-14 20:00,0.37,0.37,0.37,0.37
2026-01-14 21:00,0.19,0.19,0.19,0.19
2026-01-14 22:00,0.31,0.31,0.31,0.31
2026-01-14 23:00,0.37,0.37,0.37,0.37
2026-01-15 00:00,0.23,0.23,0.23,0.23
2026-01-15 01:00,0.28,0.28,0.28,0.28
2026-01-15 02:00,0.155,0.155,0.155,0.155
2026-01-15 03:00,0.155,0.155,0.155,0.155
2026-01-15 04:00,0.17,0.17,0.17,0.17
2026-01-15 05:00,0.16,0.16,0.16,0.16
2026-01-15 06:00,0.16,0.16,0.16,0.16
2026-01-15 07:00,0.14,0.14,0.14,0.14
2026-01-15 08:00,0.135,0.135,0.135,0.135
2026-01-15 09:00,0.11,0.11,0.11,0.11
2026-01-15 10:00,0.075,0.075,0.075,0.075
2026-01-15 11:00,0.06,0.06,0.06,0.06
2026-01-15 12:00,0.07,0.07,0.07,0.07
2026-01-15 13:00,0.05,0.05,0.05,0.05
2026-01-15 14:00,0.055,0.055,0.055,0.055
2026-01-15 15:00,0.045,0.045,0.045,0.045
2026-01-15 16:00,0.0545,0.0545,0.0545,0.0545
2026-01-15 17:00,0.043,0.043,0.043,0.043
